"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.993283760E-1,2.595000155E-2,9.105000645E-2,9.421950340E0
3.017715290E-1,2.595000155E-2,4.800000042E-2,9.540000916E0
3.042148930E-1,-3.105000220E-2,3.795000166E-2,9.597000122E0
3.066582780E-1,-9.105000645E-2,2.895000204E-2,9.604050636E0
3.091016620E-1,-1.579500139E-1,3.795000166E-2,9.757950783E0
3.115450470E-1,-2.340000123E-1,2.895000204E-2,9.885000229E0
3.139884320E-1,-3.060000241E-1,3.105000220E-2,9.991950035E0
3.164318260E-1,-4.039500058E-1,7.200000435E-2,1.003500080E1
3.188752110E-1,-4.909500182E-1,1.360500008E-1,9.958950043E0
3.213185960E-1,-5.410500169E-1,2.029500157E-1,9.850950241E0
3.237619810E-1,-5.340000391E-1,2.509500086E-1,9.765000343E0
3.262053660E-1,-4.950000346E-1,3.349500299E-1,9.805950165E0
3.286487510E-1,-5.239500403E-1,3.949500322E-1,1.008600044E1
3.310921360E-1,-6.370500326E-1,4.519500136E-1,9.934950829E0
3.335355200E-1,-6.730500460E-1,5.050500035E-1,9.778950691E0
3.359789040E-1,-7.200000286E-1,5.029500127E-1,9.805950165E0
3.384223020E-1,-9.120000601E-1,4.759500325E-1,9.529950142E0
3.408656860E-1,-1.075049996E0,4.279500246E-1,9.262050629E0
3.433090710E-1,-1.104000092E0,4.050000310E-1,9.348000526E0
3.457524560E-1,-1.033950090E0,4.069500268E-1,9.517950058E0
3.481958410E-1,-9.289500713E-1,3.780000210E-1,9.721950531E0
3.506392260E-1,-8.470500112E-1,3.300000131E-1,9.862950325E0
3.530828400E-1,-7.369500399E-1,2.389500141E-1,9.987000465E0
3.555259960E-1,-6.850500107E-1,1.939500123E-1,1.002795029E1
3.579693790E-1,-6.300000548E-1,1.360500008E-1,1.001400089E1
3.604127630E-1,-6.199500561E-1,1.150500029E-1,9.952050209E0
3.628561530E-1,-6.010500193E-1,1.170000061E-1,9.919950485E0
3.652995380E-1,-5.839500427E-1,1.890000105E-1,9.898950577E0
3.677429220E-1,-5.839500427E-1,2.509500086E-1,9.946950912E0
3.701863070E-1,-5.509500504E-1,3.400500119E-1,1.005900002E1
3.726296920E-1,-5.580000281E-1,3.780000210E-1,1.003095055E1
3.750731060E-1,-5.980500579E-1,4.210500121E-1,1.013805008E1
3.775164910E-1,-7.039500475E-1,4.480500221E-1,1.009005070E1
3.799598760E-1,-8.809500337E-1,4.840500355E-1,9.886950493E0
3.824032610E-1,-1.084050059E0,5.149500370E-1,9.643050194E0
3.848466460E-1,-1.317000031E0,6.030000448E-1,9.409950256E0
3.872900250E-1,-1.483950019E0,5.839500427E-1,9.259950638E0
3.897334090E-1,-1.585050106E0,6.030000448E-1,9.231000900E0
3.921767930E-1,-1.602000117E0,6.319500208E-1,9.384000778E0
3.946201770E-1,-1.495950103E0,6.370500326E-1,9.664050102E0
3.970635620E-1,-1.411950111E0,5.629500151E-1,9.856050491E0
3.995069610E-1,-1.302000046E0,4.860000312E-1,9.970950127E0
4.019503460E-1,-1.201950073E0,4.210500121E-1,1.011705017E1
4.043937310E-1,-1.105949998E0,3.229500055E-1,1.008300018E1
4.068371160E-1,-9.720000625E-1,2.629500031E-1,1.009305000E1
4.092805010E-1,-8.520000577E-1,2.200500071E-1,1.011195087E1
4.117238850E-1,-7.180500627E-1,1.770000011E-1,1.008600044E1
4.141672690E-1,-6.199500561E-1,1.240500063E-1,1.005900002E1
4.166106530E-1,-4.950000346E-1,1.030500084E-1,1.002105045E1
4.190540370E-1,-4.380000234E-1,4.800000042E-2,1.000395012E1
4.214974220E-1,-3.610500097E-1,-2.295000106E-2,9.955950737E0
4.239408220E-1,-1.960500032E-1,-7.304999977E-2,9.931950569E0
4.263842070E-1,-2.100000158E-2,-1.450500041E-1,9.886950493E0
4.288275920E-1,4.905000329E-2,-2.190000117E-1,9.861000061E0
4.312709770E-1,4.905000329E-2,-2.820000052E-1,9.853050232E0
4.337143620E-1,-4.995000362E-2,-3.409500122E-1,9.894000053E0
4.361577420E-1,-1.510500014E-1,-3.799500167E-1,9.994950294E0
4.386011260E-1,-2.490000129E-1,-4.399500191E-1,1.011000061E1
4.410445100E-1,-3.780000210E-1,-5.140500069E-1,1.029195023E1
4.434878940E-1,-3.589500189E-1,-6.019500494E-1,1.046400070E1
4.459312780E-1,-3.520500064E-1,-6.840000153E-1,1.057200050E1
4.483745830E-1,-2.820000052E-1,-7.459500432E-1,1.067700005E1
4.508180420E-1,-1.770000011E-1,-7.890000343E-1,1.080600071E1
4.532614290E-1,-5.205000192E-2,-7.870500088E-1,1.089705086E1
4.557048140E-1,5.895000324E-2,-7.699500322E-1,1.101195049E1
4.581481980E-1,1.669500023E-1,-7.800000310E-1,1.114605045E1
4.605915830E-1,2.629500031E-1,-7.080000043E-1,1.129200077E1
4.630349670E-1,3.250500262E-1,-6.430500150E-1,1.138800049E1
4.654783510E-1,3.750000298E-1,-5.830500126E-1,1.137405014E1
4.679217350E-1,3.420000076E-1,-4.800000191E-1,1.128495026E1
4.703651190E-1,2.239500135E-1,-3.250500262E-1,1.112205029E1
4.728085040E-1,1.330500096E-1,-1.999500096E-1,1.094805050E1
4.752518890E-1,1.395000052E-2,-9.705000371E-2,1.076295090E1
4.776952740E-1,-1.170000061E-1,-6.599999964E-2,1.069095039E1
4.801386590E-1,-2.629500031E-1,-4.695000127E-2,1.069095039E1
4.825819670E-1,-4.279500246E-1,-9.195000678E-2,1.072695065E1
4.850253450E-1,-6.130500436E-1,-1.710000038E-1,1.078995037E1
4.874687300E-1,-7.350000143E-1,-3.319500089E-1,1.077795029E1
4.899121910E-1,-7.780500650E-1,-4.200000167E-1,1.069095039E1
4.923555780E-1,-7.660500407E-1,-4.950000346E-1,1.061205006E1
4.947989620E-1,-7.999500632E-1,-4.920000136E-1,1.057395077E1
4.972423620E-1,-7.249500155E-1,-4.350000322E-1,1.052895069E1
4.996857470E-1,-5.239500403E-1,-3.340500295E-1,1.052895069E1
5.021291310E-1,1.260000020E-1,-3.409500122E-1,1.079700089E1
5.045725160E-1,7.339500189E-1,-2.770500183E-1,1.093305016E1
5.070159010E-1,9.090000391E-1,-2.220000178E-1,1.083495045E1
5.094592750E-1,8.250000477E-1,-3.495000303E-2,1.066005039E1
5.119026590E-1,6.360000372E-1,6.195000187E-2,1.057200050E1
5.143460430E-1,3.150000274E-1,2.029500157E-1,1.046895027E1
5.167894270E-1,1.450500041E-1,2.700000107E-1,1.045695019E1
