"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.640823362E0,-7.125000477E0,2.023125076E1,3.581250000E1
2.660816500E0,-7.406250477E0,2.013750076E1,3.583125305E1
2.680806298E0,-7.425000191E0,2.021250153E1,3.624375153E1
2.700793645E0,-6.937500477E0,2.023125076E1,3.581250000E1
2.720789587E0,-6.637500286E0,2.021250153E1,3.579375076E1
2.740784325E0,-7.143750191E0,2.060625076E1,3.633750153E1
2.760798867E0,-7.818750381E0,2.021250153E1,3.635625076E1
2.780795010E0,-7.518750191E0,2.034375000E1,3.592500305E1
2.800787917E0,-7.500000477E0,1.980000114E1,3.654375076E1
2.820789574E0,-7.237500191E0,2.043750000E1,3.581250000E1
2.840798893E0,-7.518750191E0,2.011875153E1,3.613125229E1
2.860802177E0,-7.050000191E0,2.051250076E1,3.592500305E1
2.880800116E0,-7.125000477E0,2.023125076E1,3.592500305E1
2.900794322E0,-7.331250191E0,2.041875076E1,3.613125229E1
2.920785556E0,-6.937500477E0,2.010000038E1,3.633750153E1
2.940785355E0,-6.825000286E0,1.989375114E1,3.622500229E1
2.960782468E0,-6.150000095E0,2.036250114E1,3.465000153E1
2.980787329E0,-6.150000095E0,2.047500038E1,3.453750229E1
3.000787239E0,-6.150000095E0,2.045625114E1,3.495000076E1
3.020783380E0,-7.125000477E0,2.032500076E1,3.601875305E1
3.040787634E0,-7.443750381E0,2.064375114E1,3.571875000E1
3.060787217E0,-6.825000286E0,2.004375076E1,3.549375153E1
3.080761593E0,-7.350000381E0,2.060625076E1,3.613125229E1
3.100770234E0,-7.425000191E0,2.021250153E1,3.624375153E1
3.120773436E0,-6.450000286E0,2.025000000E1,3.693750000E1
3.140772134E0,-6.843750477E0,2.041875076E1,3.581250000E1
3.160812556E0,-6.956250191E0,2.060625076E1,3.592500305E1
3.180806151E0,-7.631250381E0,2.043750000E1,3.583125305E1
3.200806880E0,-7.143750191E0,2.041875076E1,3.613125229E1
3.220802954E0,-6.843750477E0,2.038125038E1,3.631875229E1
3.240795319E0,-7.218750477E0,2.025000000E1,3.560625076E1
3.260794970E0,-5.737500191E0,1.965000153E1,3.639375305E1
3.280792299E0,-7.068750381E0,2.103750038E1,3.551250076E1
3.300797163E0,-7.237500191E0,2.032500076E1,3.601875305E1
3.320796810E0,-7.143750191E0,2.053125000E1,3.592500305E1
3.340792685E0,-7.237500191E0,2.041875076E1,3.592500305E1
3.360785514E0,-7.125000477E0,2.023125076E1,3.571875000E1
3.380787374E0,-6.937500477E0,2.053125000E1,3.560625076E1
3.400784978E0,-6.937500477E0,2.043750000E1,3.570000076E1
3.420779068E0,-7.050000191E0,2.062500000E1,3.581250000E1
3.440781693E0,-6.168750286E0,2.090625000E1,3.547500229E1
3.460780151E0,-5.775000095E0,2.098125076E1,3.421875000E1
3.480785263E0,-5.775000095E0,2.064375114E1,3.483750153E1
3.500786540E0,-5.887500286E0,2.115000153E1,3.474375153E1
3.520783348E0,-6.562500477E0,2.066250038E1,3.652500153E1
3.540788023E0,-6.187500477E0,2.109375000E1,3.590625000E1
3.560787688E0,-6.262500286E0,2.040000153E1,3.568125153E1
3.580783245E0,3.525000095E0,2.748750114E1,3.120000076E1
3.600776157E0,-1.312500089E-1,2.636250114E1,3.211875153E1
3.620756496E0,-5.437500477E-1,2.460000038E1,3.223125076E1
3.640758576E0,-9.375000000E-2,2.516250038E1,3.253125000E1
3.660768340E0,5.250000358E-1,2.469375038E1,3.157500076E1
3.680772211E0,-1.575000048E0,2.343750000E1,3.213750076E1
3.700816708E0,-3.112500191E0,2.308125114E1,3.228750229E1
3.720801560E0,-3.281250238E0,2.261250114E1,3.208125305E1
3.740795743E0,-3.487500191E0,2.278125000E1,3.240000153E1
3.760797971E0,-3.600000143E0,2.300625038E1,3.210000229E1
3.780795434E0,-4.256250381E0,2.240625000E1,3.253125000E1
3.800787522E0,-3.768750191E0,2.242500114E1,3.198750114E1
3.820790308E0,-3.600000143E0,2.266875076E1,3.281250000E1
3.840799456E0,-3.281250238E0,2.250000000E1,3.228750229E1
3.860791038E0,-3.300000191E0,2.281875038E1,3.187500191E1
3.880791502E0,-3.187500238E0,2.270625114E1,3.187500191E1
3.900788006E0,-2.456250191E0,2.332500076E1,3.288750076E1
3.920792966E0,-2.737500191E0,2.336250114E1,3.249375153E1
3.940781354E0,-1.950000048E0,2.308125114E1,3.163125038E1
3.960779661E0,-2.118750095E0,2.272500038E1,3.101250076E1
3.980785593E0,-1.518750072E0,2.240625000E1,3.108750153E1
4.000786539E0,-2.700000048E0,2.257500076E1,3.238125229E1
4.020781981E0,-3.093750238E0,2.246250153E1,3.260625076E1
4.040787229E0,-2.606250048E0,2.255625153E1,3.268125153E1
4.060787110E0,-2.681250095E0,2.206875038E1,3.247500229E1
4.080782769E0,-2.793750048E0,2.246250153E1,3.270000076E1
4.100786672E0,-1.950000048E0,2.302500153E1,3.277500153E1
4.120785673E0,-1.762500048E0,2.283750153E1,3.421875000E1
4.140792480E0,-2.118750095E0,2.265000153E1,3.247500229E1
4.160761025E0,-2.212500095E0,2.255625153E1,3.236250305E1
4.180765067E0,-1.556250095E0,2.266875076E1,3.348750305E1
4.200776004E0,-2.512500048E0,2.251875114E1,3.330000305E1
4.220780905E0,-2.700000048E0,2.242500114E1,3.300000000E1
4.240814529E0,-2.906250000E0,2.255625153E1,3.270000076E1
4.260813714E0,-2.512500048E0,2.253750038E1,3.279375076E1
4.280807689E0,-1.950000048E0,2.311875153E1,3.268125153E1
4.300798197E0,-1.781250119E0,2.340000153E1,3.298125076E1
4.320797578E0,-1.462500095E0,2.302500153E1,3.245625305E1
4.340791690E0,-1.837500095E0,2.272500038E1,3.266250229E1
4.360796075E0,-2.531250000E0,2.274375153E1,3.279375076E1
4.380795031E0,-2.137500048E0,2.272500038E1,3.288750076E1
4.400790005E0,-2.043750048E0,2.311875153E1,3.268125153E1
4.420782350E0,-2.512500048E0,2.263125038E1,3.279375076E1
4.440783737E0,-2.231250048E0,2.265000153E1,3.256875229E1
4.460781618E0,-2.437500000E0,2.281875038E1,3.300000000E1
4.480787295E0,-2.137500048E0,2.270625114E1,3.309375000E1
4.500787494E0,-1.743750095E0,2.291250038E1,3.266250229E1
4.520783536E0,-2.231250048E0,2.281875038E1,3.277500153E1
4.540787674E0,-2.250000000E0,2.332500076E1,3.268125153E1
4.560786777E0,-2.418750048E0,2.259375000E1,3.350625229E1
4.580782687E0,-2.625000000E0,2.272500038E1,3.300000000E1
4.600786619E0,-2.737500191E0,2.287500000E1,3.393750000E1
4.620785534E0,-1.931250095E0,2.259375000E1,3.307500076E1
4.640780625E0,-2.718750000E0,2.259375000E1,3.361875153E1
4.660784011E0,-2.325000048E0,2.236875153E1,3.403125000E1
4.680783085E0,-2.137500048E0,2.261250114E1,3.309375000E1
4.700757129E0,-2.325000048E0,2.250000000E1,3.350625229E1
4.720765429E0,-2.212500095E0,2.229375076E1,3.339375305E1
4.740768504E0,-2.362500191E0,2.326875114E1,3.373125076E1
4.760778620E0,-3.487500191E0,2.109375000E1,3.789375305E1
4.780816508E0,-3.787500143E0,2.139375114E1,3.791250229E1
4.800807565E0,-3.600000143E0,2.158125114E1,3.800625229E1
4.820806394E0,-3.787500143E0,2.118750000E1,3.800625229E1
4.840800727E0,-3.768750191E0,2.109375000E1,3.780000305E1
4.860791819E0,-3.281250238E0,2.111250114E1,3.748125076E1
4.880790428E0,-3.806250095E0,2.167500114E1,3.811875153E1
4.900787263E0,-4.087500095E0,2.130000114E1,3.811875153E1
4.920791640E0,-3.900000095E0,2.148750114E1,3.791250229E1
4.940791197E0,-3.900000095E0,2.191875076E1,3.761250305E1
4.960786882E0,-3.900000095E0,2.171250153E1,3.770625305E1
4.980790893E0,-3.506250143E0,2.169375038E1,3.780000305E1
5.000790330E0,-3.487500191E0,2.126250076E1,3.830625153E1
5.020786078E0,-3.900000095E0,2.148750114E1,3.811875153E1
5.040789513E0,-3.618750095E0,2.176875114E1,3.821250153E1
5.060788205E0,-3.300000191E0,2.130000114E1,3.736875153E1
5.080783087E0,-3.600000143E0,2.169375038E1,3.770625305E1
5.100843216E0,-3.131250143E0,2.195625114E1,3.821250153E1
5.120829067E0,-2.737500191E0,2.139375114E1,3.901875305E1
5.140812057E0,-3.506250143E0,2.148750114E1,3.780000305E1
5.160805518E0,-3.787500143E0,2.150625038E1,3.759375000E1
5.180796235E0,-3.206250191E0,2.137500000E1,3.778125000E1
5.200785058E0,-3.393750191E0,2.150625038E1,3.759375000E1
5.220784409E0,-3.581250191E0,2.131875038E1,3.738750076E1
5.240747756E0,-3.506250143E0,2.167500114E1,3.800625229E1
5.260759670E0,-3.300000191E0,2.139375114E1,3.748125076E1
5.280766083E0,-3.693750143E0,2.128125000E1,3.800625229E1
5.300767771E0,-3.412500143E0,2.160000038E1,3.768750000E1
5.320799502E0,-3.412500143E0,2.178750038E1,3.759375000E1
5.340797525E0,-3.787500143E0,2.116875076E1,3.821250153E1
5.360791123E0,-3.900000095E0,2.148750114E1,3.802500153E1
5.380792869E0,-3.393750191E0,2.130000114E1,3.757500076E1
5.400789938E0,-3.018750191E0,2.146875000E1,3.778125000E1
5.420782827E0,-3.000000000E0,2.116875076E1,3.778125000E1
5.440785471E0,-3.600000143E0,2.137500000E1,3.800625229E1
5.460783314E0,-3.506250143E0,2.158125114E1,3.789375305E1
5.480788751E0,-3.393750191E0,2.130000114E1,3.757500076E1
5.500788952E0,-3.412500143E0,2.156250000E1,3.830625153E1
5.520785021E0,-3.487500191E0,2.118750000E1,3.780000305E1
5.540789436E0,-3.225000143E0,2.154375076E1,3.851250076E1
5.560777681E0,-3.112500191E0,2.148750114E1,3.768750000E1
5.580775390E0,-3.112500191E0,2.139375114E1,3.768750000E1
5.600781258E0,-2.812500000E0,2.124375153E1,3.840000153E1
5.620781731E0,-2.625000000E0,2.143125153E1,3.849375153E1
5.640777016E0,-2.531250000E0,2.133750153E1,3.828750229E1
5.660770981E0,-2.625000000E0,2.154375076E1,3.808125305E1
5.680773287E0,-2.906250000E0,2.148750114E1,3.736875153E1
