"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.559113035E2,1.110412000E1,7.735319667E1,2.882258439E2,4.093070984E0,3.361199951E2,1.899999976E0,1.050000000E1
1.569159631E2,1.110413833E1,7.735318667E1,2.880257788E2,3.807400227E0,3.326600037E2,1.799999952E0,1.039999962E1
1.579058259E2,1.110415500E1,7.735317833E1,2.881257197E2,3.545921326E0,3.251000061E2,1.700000048E0,1.019999981E1
1.589030798E2,1.110417833E1,7.735316667E1,2.883256369E2,3.401799202E0,3.322999878E2,1.700000048E0,1.019999981E1
1.599093148E2,1.110421000E1,7.735315167E1,2.885255247E2,3.382754326E0,3.281300049E2,1.700000048E0,1.010000038E1
1.609024326E2,1.110424667E1,7.735313167E1,2.883253945E2,3.322017193E0,3.295100098E2,2.000000000E0,1.060000038E1
1.619091275E2,1.110427500E1,7.735311333E1,2.881252935E2,3.256647587E0,3.317000122E2,2.099999905E0,1.100000000E1
1.629101963E2,1.110430000E1,7.735309833E1,2.878252045E2,3.141349792E0,3.351300049E2,2.099999905E0,1.119999981E1
1.639068518E2,1.110431667E1,7.735308833E1,2.876251452E2,3.112525225E0,3.387300110E2,2.099999905E0,1.130000019E1
1.649086912E2,1.110434167E1,7.735307500E1,2.880250564E2,3.116642952E0,3.359200134E2,1.600000024E0,1.010000038E1
1.659089949E2,1.110436667E1,7.735306500E1,2.884249681E2,3.142379284E0,3.340000000E2,1.500000000E0,9.600000381E0
1.669096766E2,1.110439500E1,7.735305000E1,2.885248675E2,3.334885359E0,3.346499939E2,1.500000000E0,9.699999809E0
1.679060114E2,1.110442500E1,7.735303333E1,2.888247609E2,3.490331411E0,3.281700134E2,1.600000024E0,9.500000000E0
1.689101022E2,1.110445500E1,7.735301667E1,2.888246543E2,3.518640995E0,3.307300110E2,1.899999976E0,9.899999619E0
1.699096865E2,1.110448333E1,7.735300167E1,2.889245537E2,3.471801281E0,3.340000000E2,2.000000000E0,1.039999962E1
1.709077004E2,1.110451167E1,7.735298333E1,2.885244527E2,3.441432714E0,3.342799988E2,2.099999905E0,1.069999981E1
1.719115589E2,1.110454667E1,7.735297000E1,2.884243291E2,3.416726112E0,3.391400146E2,2.099999905E0,1.089999962E1
1.729053837E2,1.110457667E1,7.735295667E1,2.878242229E2,3.563421965E0,3.365799866E2,2.200000048E0,1.089999962E1
1.739042598E2,1.110461167E1,7.735294167E1,2.876240992E2,3.732250929E0,3.345899963E2,2.200000048E0,1.110000038E1
1.749114361E2,1.110464167E1,7.735292500E1,2.871239925E2,3.850636959E0,3.339599915E2,2.200000048E0,1.119999981E1
1.759064330E2,1.110468167E1,7.735291000E1,2.876238514E2,3.945860624E0,3.386199951E2,1.700000048E0,1.000000000E1
1.769054819E2,1.110471667E1,7.735289167E1,2.874237271E2,3.962331772E0,3.348800049E2,1.600000024E0,9.899999619E0
1.779072643E2,1.110475000E1,7.735287833E1,2.876236094E2,3.987038374E0,3.313699951E2,1.600000024E0,9.800000191E0
1.789048031E2,1.110478500E1,7.735286333E1,2.875234856E2,4.033877850E0,3.384100037E2,1.600000024E0,1.000000000E1
1.799047591E2,1.110481500E1,7.735285167E1,2.871233796E2,4.034392834E0,3.375199890E2,1.899999976E0,1.039999962E1
1.809054881E2,1.110484333E1,7.735284000E1,2.865232795E2,3.963875771E0,3.413599854E2,2.000000000E0,1.069999981E1
1.819086114E2,1.110486833E1,7.735283000E1,2.862231911E2,3.890785217E0,3.373900146E2,2.000000000E0,1.089999962E1
1.829069788E2,1.110489833E1,7.735282000E1,2.860230854E2,3.792988062E0,3.431099854E2,2.099999905E0,1.110000038E1
1.839088142E2,1.110492833E1,7.735281167E1,2.860229799E2,3.697249651E0,3.480000000E2,2.099999905E0,1.119999981E1
1.849063028E2,1.110495833E1,7.735280167E1,2.856228742E2,3.714750290E0,3.451499939E2,2.099999905E0,1.089999962E1
