"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.460355780E-1,1.619612455E0,1.300887465E0,-5.484874845E-1
4.484789630E-1,1.656324983E0,1.338699937E0,-5.092999935E-1
4.509223290E-1,1.696612477E0,1.341174960E0,-4.787749946E-1
4.533657130E-1,1.738137484E0,1.327837467E0,-4.580124915E-1
4.558090980E-1,1.778424978E0,1.303362489E0,-4.409624934E-1
4.582524820E-1,1.808949947E0,1.291124940E0,-4.274874926E-1
4.606958660E-1,1.822425008E0,1.302124977E0,-4.127750099E-1
4.631392450E-1,1.822425008E0,1.327837467E0,-3.969624937E-1
4.655826290E-1,1.807712436E0,1.354650021E0,-3.822500110E-1
4.680260140E-1,1.783375025E0,1.359599948E0,-3.700124919E-1
4.704693990E-1,1.746662498E0,1.338699937E0,-3.724874854E-1
4.729127840E-1,1.701424956E0,1.293599963E0,-3.871999979E-1
4.753561540E-1,1.648900032E0,1.227599978E0,-4.140124917E-1
4.777995390E-1,1.589087486E0,1.160362482E0,-4.507249892E-1
4.802429240E-1,1.529274940E0,1.093262553E0,-4.934875071E-1
4.826863090E-1,1.468087435E0,1.032075047E0,-5.398250222E-1
4.851299220E-1,1.411987543E0,9.857375026E-1,-5.838249922E-1
4.875733090E-1,1.359462500E0,9.490249753E-1,-6.253499985E-1
4.900166930E-1,1.311749935E0,9.245499969E-1,-6.657750010E-1
4.924600780E-1,1.272699952E0,9.099749923E-1,-7.035874724E-1
4.949034630E-1,1.237224936E0,9.002124667E-1,-7.378249764E-1
4.973468470E-1,1.206699967E0,9.014499784E-1,-7.695875168E-1
4.997902320E-1,1.184700012E0,9.074999690E-1,-8.038250208E-1
5.022336160E-1,1.165174961E0,9.185000062E-1,-8.318749666E-1
5.046770000E-1,1.157887459E0,9.270250201E-1,-8.599249721E-1
5.071203840E-1,1.156649947E0,9.294999838E-1,-8.893499970E-1
5.095638450E-1,1.160225034E0,9.429749846E-1,-9.246875048E-1
